handa_kyushoku_menu_201803,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2018,3,1,むぎごはん,ツナそぼろごはんのぐ,★チキンたつたあげ,ぶたじる,,牛乳,674,850
2,232050,2018,3,2,ごはん,★ちらしずしのぐ,★さわらのさいきょうやき,けんちんじる,★小　ひなあられ    ★中　おいわいデザート　　,牛乳,584,772
3,232050,2018,3,3,,,,,,,,
4,232050,2018,3,4,,,,,,,,
5,232050,2018,3,5,ごはん,★しゅうまい（小２こ中３こ）,ひじきのちゅうかあえ,マーボーどうふ,,牛乳,610,783
6,232050,2018,3,6,クロスロールパン,れんこんチップス,ブロッコリーサラダ,ポークビーンズ,,牛乳,618,
7,232050,2018,3,7,ごはん,★コロッケ,やさいとわかめのあえもの,だいこんとぶたにくのにもの,,牛乳,609,765
8,232050,2018,3,8,ごはん,★さばぎんがみやき,ゆかりあえ,★すいとん,,牛乳,573,723
9,232050,2018,3,9,ごはん,★ごぼういりつくね（小２こ中３こ）,はくさいとキャベツのこんぶあえ,おやこに,,牛乳,595,771
10,232050,2018,3,10,,,,,,,,
11,232050,2018,3,11,,,,,,,,
12,232050,2018,3,12,ごはん,★いわしのうめに,きりぼしだいこんのごまあえ,にくじゃが,,牛乳,639,807
13,232050,2018,3,13,ロールパン,★ハンバーグのデミソース,まめまめサラダ,ドレッシング,かぶのクリームシチュー,牛乳,754,908
14,232050,2018,3,14,むぎごはん,にくひじきごはんのぐ,ちくわのいそべあげ（小２こ中３こ）,のっぺいじる,,牛乳,554,712
15,232050,2018,3,15,ごはん,とりにくとさつまいものピリカラ,はっぽうさい,いよかん,★アーモンドいりこざかな,牛乳,609,769
16,232050,2018,3,16,むぎごはん,カレー,★あじフライレモンソース,コールスローサラダ,★小　おいわいデザート　,牛乳,760,818
17,232050,2018,3,17,,,,,,,,
18,232050,2018,3,18,,,,,,,,
19,232050,2018,3,19,ごはん,★ささみうめしそフライ,キャベツのあえもの,みそおでん,,牛乳,680,822
20,232050,2018,3,20,うどん,わふうじる,てづくりかきあげ,きんぴらごぼう,,牛乳,,790
21,232050,2018,3,21,むぎごはん,ビビンバ（にく）,ビビンバ（ナムル）,わかめスープ,ヨーグルト,牛乳,585,767
22,232050,2018,3,22,,,,,,,,
23,232050,2018,3,23,,,,,,,,
24,232050,2018,3,24,,,,,,,,
25,232050,2018,3,25,,,,,,,,
26,232050,2018,3,26,,,,,,,,
27,232050,2018,3,27,,,,,,,,
28,232050,2018,3,28,,,,,,,,
29,232050,2018,3,29,,,,,,,,
30,232050,2018,3,30,,,,,,,,
31,232050,2018,3,31,,,,,,,,
