handa_kyushoku_menu_201911_01,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,11,1,ごはん,さわらのゆず味噌かけ,ひじきの炒め煮,お餅のすまし汁,,,牛乳,609,752
2,232050,2019,11,2,,,,,,,,,
3,232050,2019,11,3,,,,,,,,,
4,232050,2019,11,4,,,,,,,,,
5,232050,2019,11,5,麦ごはん,カレー,★ミンチカツ,元気サラダ,,,牛乳,694,868
6,232050,2019,11,6,ごはん,★たら銀紙巻き(味噌マヨふう）,きんぴらごぼう,玉ふ汁,,,牛乳,558,708
7,232050,2019,11,7,ごはん,★五目厚焼き卵,小松菜とツナの和え物,肉じゃが,,,牛乳,613,770
8,232050,2019,11,8,ソフトめん,ミートソース,ブロッコリーサラダ,オレンジ,,,牛乳,640,794
9,232050,2019,11,9,,,,,,,,,
10,232050,2019,11,10,,,,,,,,,
11,232050,2019,11,11,ごはん,★けんちん信田肉味噌かけ,★彩野菜の和え物,大根と豚肉の煮物,,,牛乳,617,777
12,232050,2019,11,12,ごはん,ツナそぼろごはんの具,★チキン竜田,根菜のみそ汁,,,牛乳,675,851
13,232050,2019,11,13,ごはん,★かつおのおかか煮,きゅうりとたくあんの和え物,親子煮,,,牛乳,610,770
14,232050,2019,11,14,ロールパン,フランクフルトバーベキューソース,フレンチサラダ,ミネストローネ,,,牛乳,665,834
15,232050,2019,11,15,ごはん,★いかフライ,生揚げとキャベツのオイスターソース炒め,ワンタンスープ,,,牛乳,621,787
16,232050,2019,11,16,,,,,,,,,
17,232050,2019,11,17,,,,,,,,,
18,232050,2019,11,18,ごはん,★ささみの梅しそフライ,（中学校のみ）小松菜ときのこの炒め物,（小学校のみ）豚汁,,,牛乳,604,768
19,232050,2019,11,19,愛知の  米粉入りパン,★愛知のれんこんハンバーグケチャップソース,（小学校のみ）小松菜ときのこの炒め物,（小学校のみ）冬野菜のポトフ,（中学校のみ）ほうれん草サラダ,（中学校のみ）豚汁,牛乳,661,763
20,232050,2019,11,20,ごはん,★さばの八丁味噌煮,（小学校のみ）ほうれん草サラダ,（小学校のみ）かきたま汁,（中学校のみ）キャベツのゆかり和え,（中学校のみ）冬野菜のポトフ,牛乳,551,701
21,232050,2019,11,21,ごはん,★愛知のキャベツ入りつくね,切り干し大根の甘酢和え,ひきずり,,,牛乳,610,770
22,232050,2019,11,22,中華めん,みそラーメン,★愛知のしそ入り鶏春巻き,ひじきの中華和え,,,牛乳,631,765
23,232050,2019,11,23,,,,,,,,,
24,232050,2019,11,24,,,,,,,,,
25,232050,2019,11,25,ごはん,★ししゃもフライレモンソース　２尾,野菜とわかめの和え物,けんちん汁,,,牛乳,603,733
26,232050,2019,11,26,ごはん,★しゅうまい,ビーフン炒め,マーボー豆腐,,,牛乳,651,830
27,232050,2019,11,27,ごはん,ハヤシライス,★さつま芋コロッケ,ハムと野菜のマリネ,,,牛乳,668,837
28,232050,2019,11,28,くろロールパン,鶏肉のマーマレードソース,れんこんサラダ,ごまドレッシング,豆乳コーンクリームスープ,,牛乳,732,896
29,232050,2019,11,29,ごはん,★いわしの梅煮,みそおでん,みかん,,,牛乳,632,791
30,232050,2019,11,30,,,,,,,,,
