handa_kyushoku_menu_201912,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,献立名６,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2019,12,1,,,,,,,,,,
2,232050,2019,12,2,ごはん,焼肉風炒め,根菜汁,りんご,★乾燥小魚,,,牛乳,523,672
3,232050,2019,12,3,ごはん,八宝菜,バンサンスー,れんこんチップス,,,,牛乳,584,736
4,232050,2019,12,4,ごはん,五目ごはんの具,さばの塩焼き,豚汁,★いちごヨーグルト,,,牛乳,738,910
5,232050,2019,12,5,クロスロールパン,焼きそば,★豆腐だんご,ごぼうサラダ,,,,牛乳,695,885
6,232050,2019,12,6,わかめごはん,★さんまのしょうが煮,おいもサラダ,マヨネーズ,けんちん汁,,,牛乳,647,805
7,232050,2019,12,7,,,,,,,,,,
8,232050,2019,12,8,,,,,,,,,,
9,232050,2019,12,9,麦ごはん,ツナそぼろごはんの具,ひじきと野菜の和え物,実だくさん汁,,,,牛乳,587,744
10,232050,2019,12,10,ごはん,鶏肉のから揚げ,中華風和え物,マーボー豆腐,,,,牛乳,726,907
11,232050,2019,12,11,ごはん,★厚焼き卵,きゅうりとたくあんの和え物,じゃがいものそぼろ煮,,,,牛乳,605,761
12,232050,2019,12,12,ごはん,★さばの銀紙焼き,かぶの甘酢和え,すいとん,,,,牛乳,605,765
13,232050,2019,12,13,中華めん,五目中華スープ,★春巻き,みかん,,,,牛乳,613,741
14,232050,2019,12,14,,,,,,,,,,
15,232050,2019,12,15,,,,,,,,,,
16,232050,2019,12,16,ごはん,★けんちん信田のみそかけ,だいコーンサラダ,★肉だんごのうま煮,,,,牛乳,698,882
17,232050,2019,12,17,ごはん,★和風コロッケ,白菜の昆布和え,凍り豆腐の卵とじ,,,,牛乳,668,835
18,232050,2019,12,18,愛知の米粉入りパン,★モミの木ハンバーグのケチャップソースかけ,かぼちゃと根菜のサラダ,冬野菜の豆乳シチュー,セレクトデザートチョコクレープ,セレクトデザート豆乳プリン,セレクトデザートりんごゼリー,牛乳,713,834
19,232050,2019,12,19,ごはん,★わかさぎの南蛮漬け,もやしとほうれん草のごま和え,関東煮,,,,牛乳,553,703
20,232050,2019,12,20,麦ごはん,カレー,鶏肉のハーブ焼き,コールスローサラダ,,,,牛乳,636,797
21,232050,2019,12,21,,,,,,,,,,
22,232050,2019,12,22,,,,,,,,,,
23,232050,2019,12,23,,,,,,,,,,
24,232050,2019,12,24,,,,,,,,,,
25,232050,2019,12,25,,,,,,,,,,
26,232050,2019,12,26,,,,,,,,,,
27,232050,2019,12,27,,,,,,,,,,
28,232050,2019,12,28,,,,,,,,,,
29,232050,2019,12,29,,,,,,,,,,
30,232050,2019,12,30,,,,,,,,,,
31,232050,2019,12,31,,,,,,,,,,
