handa_kyushoku_menu_202003,市区町村コード,年,月,日,主食（パン・ごはん）,献立名１,献立名２,献立名３,献立名４,献立名５,飲み物,カロリー（小学校）,カロリー（中学校）
1,232050,2020,3,1,,,,,,,,,
2,232050,2020,3,2,,,,,,,,,
3,232050,2020,3,3,,,,,,,,,
4,232050,2020,3,4,,,,,,,,,
5,232050,2020,3,5,,,,,,,,,
6,232050,2020,3,6,,,,,,,,,
7,232050,2020,3,7,,,,,,,,,
8,232050,2020,3,8,,,,,,,,,
9,232050,2020,3,9,,,,,,,,,
10,232050,2020,3,10,,,,,,,,,
11,232050,2020,3,11,,,,,,,,,
12,232050,2020,3,12,,,,,,,,,
13,232050,2020,3,13,,,,,,,,,
14,232050,2020,3,14,,,,,,,,,
15,232050,2020,3,15,,,,,,,,,
16,232050,2020,3,16,,,,,,,,,
17,232050,2020,3,17,,,,,,,,,
18,232050,2020,3,18,,,,,,,,,
19,232050,2020,3,19,,,,,,,,,
20,232050,2020,3,20,,,,,,,,,
21,232050,2020,3,21,,,,,,,,,
22,232050,2020,3,22,,,,,,,,,
23,232050,2020,3,23,,,,,,,,,
24,232050,2020,3,24,,,,,,,,,
25,232050,2020,3,25,,,,,,,,,
26,232050,2020,3,26,,,,,,,,,
27,232050,2020,3,27,,,,,,,,,
28,232050,2020,3,28,,,,,,,,,
29,232050,2020,3,29,,,,,,,,,
30,232050,2020,3,30,,,,,,,,,
31,232050,2020,3,31,,,,,,,,,
